line_id,blueprint_id,line_number,content
BP01:00035,BP01,35,H.2  File: apps/web-demo/src/__tests__/deliverInBubbles.test.ts
BP01:00036,BP01,36,H.3  File: apps/web-demo/tests/demo.spec.ts
BP01:00037,BP01,37,SECTION M  Deployment Assembly Order
BP01:00038,BP01,38,Execute steps sequentially. Each has a machine-verifiable gate. Zero architectural decisions.
BP02:00001,BP02,1,1. Preamble & Non-Negotiable Rules
BP02:00002,BP02,2,"This addendum is purely additive to V10. It closes all 12 gaps identified in the Admin Backend analysis. Every identifier defined here is unique. Every table, endpoint, workflow, policy, and metric is"
BP02:00003,BP02,3,2. Executive Architecture Overview
BP02:00004,BP02,4,2.1  New Component Map
BP02:00005,BP02,5,The following components are added by this addendum. All integrate into the existing 5-service architecture without structural modification.
BP02:00006,BP02,6,2.2  Data Flow — Cost Attribution Pipeline
BP02:00007,BP02,7,2.3  Data Flow — Revenue Operations Pipeline
BP02:00008,BP02,8,3. Database Layer — Full DDL
BP02:00009,BP02,9,Migration file: db/migrations/004_brevio_v101_admin_intelligence.sql
BP02:00010,BP02,10,Applies after: 003_BREVIO_v92_production_hardening.sql
BP02:00011,BP02,11,"All tables: UUIDv7 PKs, workspace_id RLS, forward-only. 16 new tables defined below."
BP02:00012,BP02,12,llm_cost_ledger
BP02:00013,BP02,13,Token-level cost record for every LLM call. Written by Brain via outbox. Never queried from dashboard — only aggregated by Temporal workflows.
BP02:00014,BP02,14,task_cost_rollup
BP02:00015,BP02,15,One row per Temporal workflow execution. Written exclusively by CostRollupWorkflow.
BP02:00016,BP02,16,connector_cost_ledger
BP02:00017,BP02,17,"Per-call cost for paid external connectors (e.g., Twilio, Google Maps API, data providers). Written by Executor via outbox."
BP02:00018,BP02,18,user_cost_daily_rollup
BP02:00019,BP02,19,Pre-aggregated daily cost per user. Written by DailyUserCostRollup workflow at 01:00 UTC. Admin dashboard reads ONLY this table — never llm_cost_ledger directly.
BP02:00020,BP02,20,operator_margin_report
BP02:00021,BP02,21,"Daily operator P&L snapshot. Revenue from mrr_snapshots, COGS from user_cost_daily_rollup. Written by MarginSnapshotWorkflow at 02:00 UTC."
BP02:00022,BP02,22,agent_kill_switches
BP02:00023,BP02,23,"Per-user kill switch state. ExecutionGate checks this table first, before any other gate. One row per user (upsert on activation, delete on deactivation)."
BP02:00024,BP02,24,skill_acl_overrides
BP02:00025,BP02,25,"Per-user, per-skill enable/disable overrides. Default behavior (no row) follows workspace-level feature flags. A row here overrides for the specific user."
BP02:00026,BP02,26,subscription_events
BP02:00027,BP02,27,Raw events from Stripe webhooks. Append-only. Source of truth for all revenue calculations.
BP02:00028,BP02,28,mrr_snapshots
BP02:00029,BP02,29,Daily MRR/ARR snapshot computed by MRRSnapshotWorkflow from subscription_events.
BP02:00030,BP02,30,user_cohorts
BP02:00031,BP02,31,Cohort assignment: every user is assigned to a signup_week cohort at registration. Retention rows are computed weekly by CohortComputeWorkflow.
BP02:00032,BP02,32,oauth_token_registry
BP02:00033,BP02,33,behavioral_risk_scores
BP02:00034,BP02,34,feature_adoption_events
BP02:00035,BP02,35,tool_mttr_log
BP02:00036,BP02,36,agent_action_replay_log
BP02:00037,BP02,37,4. API Contracts (OpenAPI 3.1 Extension)
BP02:00038,BP02,38,All endpoints extend the V10 OpenAPI spec (api/openapi/v10.yaml). Auth: AdminJWT unless noted. Base path: /v1. All responses: application/json. All errors: V9 error contract.
BP02:00039,BP02,39,GET /admin/costs/summary
BP02:00040,BP02,40,GET /admin/costs/users
BP02:00041,BP02,41,GET /admin/costs/users/{user_id}/breakdown
BP02:00042,BP02,42,GET /admin/costs/margin
BP02:00043,BP02,43,GET /admin/costs/projections
BP02:00044,BP02,44,GET /admin/revenue/mrr
BP02:00045,BP02,45,GET /admin/revenue/cohorts
BP02:00046,BP02,46,GET /admin/revenue/ltv
BP02:00047,BP02,47,PUT /admin/revenue/cac
BP02:00048,BP02,48,POST /admin/users/{user_id}/kill-switch
BP02:00049,BP02,49,DELETE /admin/users/{user_id}/kill-switch
BP02:00050,BP02,50,PUT /admin/users/{user_id}/skill-acl
BP02:00051,BP02,51,POST /admin/agent/replay
BP02:00052,BP02,52,GET /admin/oauth/expiry
BP02:00053,BP02,53,GET /admin/tools/mttr
BP02:00054,BP02,54,GET /admin/features/adoption
BP02:00055,BP02,55,GET /admin/users/{user_id}/risk
BP02:00056,BP02,56,5. Temporal Workflow Specifications
BP02:00057,BP02,57,All workflows run in Temporal namespace: brevio-prod. All are workspace-agnostic system workflows (no workspace_id scope — they process all workspaces). All activities write to Postgres via the outbox
BP02:00058,BP02,58,5.1  CostRollupWorkflow
BP02:00059,BP02,59,5.2  DailyUserCostRollup
BP02:00060,BP02,60,5.3  MarginSnapshotWorkflow
BP02:00061,BP02,61,5.4  MRRSnapshotWorkflow
BP02:00062,BP02,62,5.5  CohortComputeWorkflow
BP02:00063,BP02,63,5.6  BehavioralRiskWorkflow
BP02:00064,BP02,64,5.7  OAuthExpiryCheckWorkflow
BP02:00065,BP02,65,6. OPA Policy Definitions
BP02:00066,BP02,66,"New policy files added to policies/ directory. All integrate with the existing V9 ExecutionGate PDP. Auth: AdminJWT required for all admin endpoints — enforced at Gateway, not OPA."
BP02:00067,BP02,67,6.1  policies/agent_kill_switch.rego
BP02:00068,BP02,68,6.2  policies/skill_acl.rego
BP02:00069,BP02,69,6.3  ExecutionGate Integration — Updated Gate Chain
BP02:00070,BP02,70,The ExecutionGate PDP evaluates policies in this exact order. First denial wins.
BP02:00071,BP02,71,"7. Observability — Metrics, Logs, Alerts, SLOs"
BP02:00072,BP02,72,7.1  New Prometheus Metrics
BP02:00073,BP02,73,All registered at service startup. CI validates registration via go vet plugin. Prefix: BREVIO_.
BP02:00074,BP02,74,7.2  New Canonical Events
BP02:00075,BP02,75,7.3  Alert Rules (Prometheus / Alertmanager)
BP02:00076,BP02,76,7.4  SLO Definitions
BP02:00077,BP02,77,8. Infrastructure as Code
BP02:00078,BP02,78,8.1  New Temporal Cron Workflow Registrations (Helm)
BP02:00079,BP02,79,8.2  New Kubernetes Deployments
BP02:00080,BP02,80,8.3  New Environment Variables
BP02:00081,BP02,81,9. CI/CD Pipeline Extensions
BP02:00082,BP02,82,9.1  New CI Steps (.github/workflows/ci.yaml extension)
BP02:00083,BP02,83,10. Testing Suite
BP02:00084,BP02,84,10.1  Unit Tests
BP02:00085,BP02,85,10.2  Integration Tests
BP02:00086,BP02,86,10.3  OPA Policy Tests
BP02:00087,BP02,87,10.4  Workflow Replay Tests
BP02:00088,BP02,88,11. Security & Governance
BP02:00089,BP02,89,11.1  Threat Model Additions
BP02:00090,BP02,90,11.2  Database Role Grants
BP02:00091,BP02,91,12. Failure & Recovery Model
BP02:00092,BP02,92,12.1  Failure Taxonomy — New Failure Classes
BP02:00093,BP02,93,12.2  Dead Letter Queue — Cost Outbox
BP02:00094,BP02,94,13. Operational Runbooks
BP02:00095,BP02,95,Runbook R-101: Daily Cost Rollup SLO Breach
BP02:00096,BP02,96,Runbook R-102: Kill Switch Activation
BP02:00097,BP02,97,Runbook R-103: MRR Snapshot Recovery
BP02:00098,BP02,98,14. Acceptance Gates & Deployment Assembly Order
BP02:00099,BP02,99,14.1  Machine-Verifiable Acceptance Gates
BP02:00100,BP02,100,14.2  Deterministic Deployment Assembly Order
BP02:00101,BP02,101,Steps are dependency-closed. Do not proceed to step N+1 if step N fails. Steps 1-14 are V9/V9.1/V9.2/V10. Steps 15-28 are V10.1.
BP02:00102,BP02,102,14.3  Repository File Structure — New Files
BP02:00103,BP02,103,14.4  Closure Statement
BP02:00104,BP02,104,1. Architecture — Gap Closures
BP02:00105,BP02,105,Brevio decomposes into four bounded contexts. Context boundaries are enforced by service ownership. No cross-context direct DB reads — all inter-context communication is via events or API.
BP02:00106,BP02,106,SEQ-1: Kill Switch Activation & Enforcement
BP02:00107,BP02,107,SEQ-2: LLM Cost Attribution (Hot Path — Zero Latency)
BP02:00108,BP02,108,SEQ-3: Daily Rollup → Margin → Admin Dashboard
BP02:00109,BP02,109,State Machine: CostRollupWorkflow
BP02:00110,BP02,110,State Machine: Agent Kill Switch
BP02:00111,BP02,111,State Machine: MRR Snapshot
BP02:00112,BP02,112,2. Services & APIs — Gap Closures
BP02:00113,BP02,113,Go Types (internal/sdk/admin_types.go)
BP02:00114,BP02,114,TypeScript Types (packages/admin-sdk/src/types.ts)
BP02:00115,BP02,115,3. Database Layer — Gap Closures
BP02:00116,BP02,116,File: db/migrations/004_brevio_v101_admin_intelligence.down.sql
BP02:00117,BP02,117,INVARIANT: Apply DOWN only in reverse order of UP. Never apply DOWN in production without explicit approval. Down migration is provided for local dev and staging rollback only.
BP02:00118,BP02,118,File: db/seeds/004_brevio_v101_seed.sql — seeds for local development and integration test environments only. Production: empty (no seed data applied).
BP02:00119,BP02,119,File: db/invariants/004_brevio_v101_invariants.sql — run as part of schema-validator in CI.
BP02:00120,BP02,120,4. Workflow Specifications — Gap Closures
BP02:00121,BP02,121,"Compensation applies to workflows that have multi-step writes. If any step fails after prior steps succeeded, the workflow compensates in reverse order."
BP02:00122,BP02,122,5. Policy & Governance — Gap Closures
BP02:00123,BP02,123,"Rows = roles. Columns = resources/actions. ✓ = allowed, ✗ = denied, own = own workspace only."
BP02:00124,BP02,124,App Role Definitions (OPA role data bundle)
BP02:00125,BP02,125,7. Infrastructure as Code — Gap Closures
BP02:00126,BP02,126,terraform/modules/cost-rollup-worker/main.tf
BP02:00127,BP02,127,Networking Topology
BP02:00128,BP02,128,Environment Isolation Strategy
BP02:00129,BP02,129,Complete Helm Chart Templates (cost-rollup-worker)
BP02:00130,BP02,130,8. CI/CD — Gap Closures
BP02:00131,BP02,131,9. Observability — Gap Closures
BP02:00132,BP02,132,All V10.1 services emit JSON-structured logs. Every log line is a valid JSON object matching the schema below. Log aggregation: Datadog (or CloudWatch Logs if Datadog unavailable).
BP02:00133,BP02,133,10. Testing Suite — Gap Closures
BP02:00134,BP02,134,11. Security & Governance — Gap Closures
BP02:00135,BP02,135,12. Failure & Recovery — Gap Closures
BP02:00136,BP02,136,13. Operational Runbooks — Full Suite
BP03:00001,BP03,1,BREVIO
BP03:00002,BP03,2,V10.2 Intelligence & Performance Addendum
BP03:00003,BP03,3,Gap Analysis  •  Weakness Diagnosis  •  Improvement Specifications
BP03:00004,BP03,4,Version 10.2.0  |  March 2026  |  Extends V9 + V9.1 + V9.2 + V10 + V10.1
BP03:00005,BP03,5,PURELY ADDITIVE  •  ZERO-AMBIGUITY  •  IMPLEMENTATION-COMPLETE
BP03:00006,BP03,6,1. Executive Summary
BP03:00007,BP03,7,BREVIO V10.2 is a forward-only addendum that closes 34 intelligence and performance gaps identified through systematic audit of the V9–V10.1 stack. These are not infrastructure gaps — the infrastructu
BP03:00008,BP03,8,"The V9 stack is excellent at deterministic execution, safety, and observability. V9.1 adds the soft intelligence scaffolding. V9.2 adds production hardening. V10 reconciles architecture. What remains "
BP03:00009,BP03,9,1.1 Gap Severity Distribution
BP03:00010,BP03,10,2. Behavior Gaps & Improvements
BP03:00011,BP03,11,"Behavior governs how Brevio presents itself, adapts its responses, earns trust, and governs its own autonomy. The V9.1 Soft Intelligence Layer defines the scaffolding correctly — EQ signals, autonomy "
BP03:00012,BP03,12,GAP-B01 — EQ Response Strategy Is Unspecified [CRITICAL]
BP03:00013,BP03,13,Current State: The EQ layer (V10 Phase 5) correctly detects emotional state from signals and stores it in emotional_state_log. A CommunicationProfile exists. The gap is that nowhere in V9–V10.1 is the
BP03:00014,BP03,14,Gap: The agent knows the user is stressed. It does nothing differently. Emotional state detection without response adaptation is instrumentation without intelligence.
BP03:00015,BP03,15,New Table: eq_response_strategies
BP03:00016,BP03,16,eq_response_strategy_matrix (
BP03:00017,BP03,17,"  id               UUIDv7 PK,"
BP03:00018,BP03,18,"  detected_state   eq_state_enum NOT NULL,"
BP03:00019,BP03,19,"  comm_style       communication_style_enum NOT NULL,"
BP03:00020,BP03,20,"  time_bucket      VARCHAR(16) CHECK IN ('morning','afternoon','evening','late_night'),"
BP03:00021,BP03,21,"  length_modifier  DECIMAL(3,2) NOT NULL DEFAULT 1.0,  -- 0.5 = half length"
BP03:00022,BP03,22,"  formality_level  INTEGER NOT NULL CHECK (1-5),"
BP03:00023,BP03,23,"  offer_help       BOOLEAN NOT NULL DEFAULT false,"
BP03:00024,BP03,24,"  tone_directive   TEXT NOT NULL,  -- injected into response prompt"
BP03:00025,BP03,25,"  check_in_after   INTEGER,  -- N turns before proactive check-in"
BP03:00026,BP03,26,"  UNIQUE (detected_state, comm_style, time_bucket)"
BP03:00027,BP03,27,)
BP03:00028,BP03,28,The PROMPT_RESPONSE_GEN prompt must be updated to load the active eq_response_strategy row and inject tone_directive and length_modifier into its system prompt before generation. This closes the loop 
BP03:00029,BP03,29,GAP-B02 — Autonomy Demotion Is Absent [CRITICAL]
BP03:00030,BP03,30,Current State: V9.1 defines a trust-building autonomy system with a promotion threshold of trust_score ≥ 0.85 AND success_count_30d ≥ 20. Promotions require operator notification. This is correct.
BP03:00031,BP03,31,"Gap: There is no autonomy demotion mechanism. An agent promoted to high autonomy after a strong 30-day run has no path back to requiring approval if its performance degrades, the operator's situation "
BP03:00032,BP03,32,New Columns on autonomy_trust_scores
BP03:00033,BP03,33,"demotion_incident_threshold   DECIMAL(3,2) DEFAULT 0.60,"
BP03:00034,BP03,34,"demotion_drift_days           INTEGER DEFAULT 7,"
BP03:00035,BP03,35,"last_demotion_at              TIMESTAMPTZ,"
BP03:00036,BP03,36,"demotion_reason               TEXT,"
BP03:00037,BP03,37,demotion_count_90d            INTEGER DEFAULT 0
BP03:00038,BP03,38,GAP-B03 — Proactive Interruption Policy Is Undefined [HIGH]
BP03:00039,BP03,39,"Current State: Brevio is a reactive assistant. It responds to messages. V9.1 adds scheduled workflows (daily briefings, cron triggers) but there is no policy governing when the agent should proactivel"
BP03:00040,BP03,40,"Gap: A high-value AI assistant should proactively surface information — an approaching deadline, a price drop on a watched item, a detected scheduling conflict — without being asked. No policy governs"
BP03:00041,BP03,41,GAP-B04 — Correction-to-Rule Pipeline Lacks Consolidation Logic [HIGH]
BP03:00042,BP03,42,Current State: V9.1 defines interaction_feedback → lesson_proposal → operator_confirmation → learned_lesson. The pipeline shape is correct.
BP03:00043,BP03,43,Gap: The consolidation logic is undefined. How many corrections on the same topic before a lesson proposal is generated? How are contradictory lessons from different time periods resolved? How does a 
BP03:00044,BP03,44,GAP-B05 — SOUL.md and USER.md Have No Refresh Cadence [HIGH]
BP03:00045,BP03,45,Current State: SOUL.md and USER.md are the core behavioral knowledge files. They are referenced throughout the reasoning loop as user context. They are created during onboarding and can be updated via
BP03:00046,BP03,46,"Gap: There is no defined refresh cadence, staleness detection, or re-discovery workflow. A user's communication style, goals, and constraints evolve. A SOUL.md written at onboarding will drift from re"
BP03:00047,BP03,47,3. Reasoning Gaps & Improvements
BP03:00048,BP03,48,Reasoning is the quality of thought between input and action. V10 defines an excellent four-tier reasoning depth state machine. The gaps are in what happens inside those tiers: what the CRITIC critici
BP03:00049,BP03,49,GAP-R01 — CRITIC and REFLECTOR Prompts Are Undefined Stubs [CRITICAL]
BP03:00050,BP03,50,"Current State: V9 defines a four-state reasoning loop (PLANNER → EXECUTOR → CRITIC → REFLECTOR) and states all prompts are versioned in the prompt_registry. PROMPT_RESPONSE_GEN, PROMPT_INTENT_CLASSIFY"
BP03:00051,BP03,51,Gap: These are the most intelligence-critical prompts in the system. The CRITIC determines whether a plan was good. The REFLECTOR determines what was learned. Deferring them as undefined stubs means t
BP03:00052,BP03,52,PROMPT_CRITIC_V1 Specification
BP03:00053,BP03,53,ID: PROMPT_CRITIC_V1
BP03:00054,BP03,54,Model: claude-sonnet-4-6 (quality required)
BP03:00055,BP03,55,Temperature: 0.0 (fully deterministic)
BP03:00056,BP03,56,Evaluation Dimensions:
BP03:00057,BP03,57,"  1. GOAL_ALIGNMENT: Did execution serve the user's actual intent?"
BP03:00058,BP03,58,"  2. COMPLETENESS: Were all sub-tasks addressed?"
BP03:00059,BP03,59,"  3. ACCURACY: Are factual claims in results verifiable?"
BP03:00060,BP03,60,"  4. EFFICIENCY: Were unnecessary steps taken?"
BP03:00061,BP03,61,"  5. SAFETY: Were any trust/safety constraints approached?"
BP03:00062,BP03,62,Output Schema: {
BP03:00063,BP03,63,"  overall_score: 0.0-1.0,"
BP03:00064,BP03,64,"  dimension_scores: { goal_alignment, completeness, accuracy, efficiency, safety },"
BP03:00065,BP03,65,"  passed: boolean,  // false if any dimension < 0.6"
BP03:00066,BP03,66,"  failure_modes: string[],"
BP03:00067,BP03,67,"  improvement_directive: string  // injected into REFLECTOR"
BP03:00068,BP03,68,}
BP03:00069,BP03,69,PROMPT_REFLECTOR_V1 Specification
BP03:00070,BP03,70,ID: PROMPT_REFLECTOR_V1
BP03:00071,BP03,71,"Model: claude-haiku-4-5 (cost-optimized, structured output only)"
BP03:00072,BP03,72,Input: critic_output + execution_trace + user_correction (if any)
BP03:00073,BP03,73,Output Schema: {
BP03:00074,BP03,74,"  lesson_candidates: [{topic, observation, confidence, suggested_rule}],"
BP03:00075,BP03,75,"  pattern_detected: boolean,  // true if same failure seen 3+ times"
BP03:00076,BP03,76,"  escalate_to_feedback_pipeline: boolean"
BP03:00077,BP03,77,}
BP03:00078,BP03,78,GAP-R02 — No Confidence Calibration Feedback Loop [CRITICAL]
BP03:00079,BP03,79,"Current State: Intent classification requires confidence ≥ 0.7 to proceed, with fast-path routing at ≥ 0.92. These thresholds are hardcoded constants defined at spec time."
BP03:00080,BP03,80,Gap: Confidence thresholds are never recalibrated against actual outcomes. A classifier that claims 0.92 confidence but is wrong 30% of the time is miscalibrated. Hardcoded thresholds drift from reali
BP03:00081,BP03,81,New Table: confidence_calibration_config
BP03:00082,BP03,82,confidence_calibration_config (
BP03:00083,BP03,83,"  id                 UUIDv7 PK,"
BP03:00084,BP03,84,"  workspace_id       UUID NOT NULL,"
BP03:00085,BP03,85,"  bucket_lower       DECIMAL(3,2) NOT NULL,  -- e.g. 0.70"
BP03:00086,BP03,86,"  bucket_upper       DECIMAL(3,2) NOT NULL,  -- e.g. 0.80"
BP03:00087,BP03,87,"  platt_scale_a      DECIMAL(6,4) DEFAULT 1.0,"
BP03:00088,BP03,88,"  platt_scale_b      DECIMAL(6,4) DEFAULT 0.0,"
BP03:00089,BP03,89,"  empirical_accuracy DECIMAL(4,3),"
BP03:00090,BP03,90,"  sample_count       INTEGER DEFAULT 0,"
BP03:00091,BP03,91,"  last_calibrated_at TIMESTAMPTZ,"
BP03:00092,BP03,92,"  UNIQUE (workspace_id, bucket_lower, bucket_upper)"
BP03:00093,BP03,93,)
BP03:00094,BP03,94,GAP-R03 — Partial Plan Failure Has No Defined Handling [HIGH]
BP03:00095,BP03,95,Current State: V9 defines compensation for workflow failures. V10 defines state machines for transactions (PROPOSED → FAILED → REVERSED). These handle full failure well.
BP03:00096,BP03,96,"Gap: Partial success — 7 of 10 parallel tasks succeed, 3 fail — has no defined behavior. Does the agent deliver partial results? Retry the failures? Ask the user? Fail the entire request? The current "
BP03:00097,BP03,97,GAP-R04 — Task Decomposition Depth Is Static [HIGH]
BP03:00098,BP03,98,"Current State: Task decomposition has fixed limits: max 10 tasks, max depth 5, enforced by DAG validation in PROMPT_TASK_DECOMPOSE."
BP03:00099,BP03,99,Gap: Complexity signals from the user request are not used to set dynamic limits. A simple 'book a restaurant' should not have the same depth budget as 'plan our Q3 product roadmap'. Static limits ove
BP03:00100,BP03,100,GAP-R05 — No Counterfactual or Alternative Plan Scoring [MEDIUM]
BP03:00101,BP03,101,"Gap: The PLANNER generates one plan (T1), two candidates (T2), or three (T3). But there is no mechanism for the agent to reason about alternatives after execution — 'if I had taken approach B instead,"
BP03:00102,BP03,102,GAP-R06 — Agent Council Has No Meta-Reasoning About When to Convene [MEDIUM]
BP03:00103,BP03,103,"Gap: The agent-council skill (V10.1, agent_councils table) defines deliberation, voting, and consensus mechanisms. Missing: a policy for when to convene a council vs. handle solo. Currently the counci"
BP03:00104,BP03,104,4. Memory Gaps & Improvements
BP03:00105,BP03,105,"Brevio's memory architecture is one of its strongest features — five distinct memory modalities across episodic, semantic, procedural, goal-oriented, and relational layers. The gaps are in memory life"
BP03:00106,BP03,106,GAP-M01 — No Memory Decay or Relevance-Weighted Forgetting [CRITICAL]
BP03:00107,BP03,107,Current State: Memory items are stored indefinitely. RAG retrieval returns items based on semantic similarity. Older items have equal weight to recent ones unless explicitly filtered.
BP03:00108,BP03,108,Gap: Memory without decay is not intelligence — it is a database query. Human memory is constructive and recency-weighted. A preference expressed 18 months ago may be superseded. A past goal that was 
BP03:00109,BP03,109,New Columns on memory_items
BP03:00110,BP03,110,"relevance_score     DECIMAL(4,3) NOT NULL DEFAULT 1.0,"
BP03:00111,BP03,111,"access_count        INTEGER NOT NULL DEFAULT 0,"
BP03:00112,BP03,112,"last_accessed_at    TIMESTAMPTZ,"
BP03:00113,BP03,113,"decay_enabled       BOOLEAN NOT NULL DEFAULT true,"
BP03:00114,BP03,114,"archive_threshold   DECIMAL(4,3) NOT NULL DEFAULT 0.20,"
BP03:00115,BP03,115,archived_at         TIMESTAMPTZ  -- null = active
BP03:00116,BP03,116,GAP-M02 — Episodic Memory Is Write-Only in the Reasoning Loop [CRITICAL]
BP03:00117,BP03,117,Current State: V9.1 defines daily_captures (episodic memory) with introspection_templates and a DailyCaptureWorkflow. These correctly write episodic summaries to memory_items with type='daily_log'.
BP03:00118,BP03,118,"Gap: There is no specification for how episodic memory is retrieved and injected into the reasoning loop. The context budget (V9.2) has allocation slots for various memory types, but episodic memory h"
BP03:00119,BP03,119,GAP-M03 — Semantic Conflicts Between Lessons Are Unhandled [HIGH]
BP03:00120,BP03,120,Current State: V9.1 learned_lessons stores active rules derived from interaction_feedback. The learning pipeline correctly requires operator confirmation before activation.
BP03:00121,BP03,121,Gap: Two confirmed lessons can contradict each other. 'User prefers brief responses' (lesson from March) conflicts with 'User wants comprehensive analysis for financial decisions' (lesson from April).
BP03:00122,BP03,122,GAP-M04 — RAG Pipeline Embedding Model and Chunking Strategy Are Unspecified [HIGH]
BP03:00123,BP03,123,"Current State: V9.2 defines a complete RAG pipeline with rag_collections, rag_chunks, hybrid BM25+pgvector search, and cross-encoder reranking. The infrastructure is production-grade."
BP03:00124,BP03,124,Gap: The embedding model is never specified. The chunking strategy per content type is never specified. These are the two highest-impact variables in RAG quality. A 256-token chunk of a 4000-word emai
BP03:00125,BP03,125,GAP-M05 — Cold-Start Memory Problem Has No Mitigation [HIGH]
BP03:00126,BP03,126,"Gap: New users have no episodic memory, no learned lessons, no calibrated trust scores, and no precomputed fast-path answers. Every request goes through the full STANDARD reasoning path. The first 7–1"
BP03:00127,BP03,127,GAP-M06 — Proactive Memory Surfacing Is Absent [MEDIUM]
BP03:00128,BP03,128,Gap: The agent retrieves memory in response to requests but never proactively surfaces relevant memories. 'You mentioned last month that you wanted to negotiate a lower rate on this contract' is a hig
BP03:00129,BP03,129,5. Context Gaps & Improvements
BP03:00130,BP03,130,"V9.2's Context Engineering System is architecturally excellent: deterministic token budgets, per-source allocations, audit trails. The gaps are in the intelligence of how context is selected, ranked, "
BP03:00131,BP03,131,GAP-C01 — Context Allocation Algorithm Is Undefined [CRITICAL]
BP03:00132,BP03,132,Current State: context_budgets defines percentage allocations per source per model tier. context_budget_allocations records how tokens were distributed. The table structure is correct.
BP03:00133,BP03,133,"Gap: When a source has more content than its allocation allows, there is no defined selection algorithm. Which 500 tokens of the user's 3000-token email history go into the SOUL context slot? Ranking "
BP03:00134,BP03,134,context_budgets.selection_config JSONB Schema
BP03:00135,BP03,135,{
BP03:00136,BP03,136,"  'soul_context':     { 'strategy': 'full',          'max_tokens': 800 },"
BP03:00137,BP03,137,"  'user_context':     { 'strategy': 'recency',       'max_tokens': 600 },"
BP03:00138,BP03,138,"  'episodic_context': { 'strategy': 'relevance',     'max_tokens': 400 },"
BP03:00139,BP03,139,"  'rag_results':      { 'strategy': 'diversity_mmr', 'max_tokens': 1200,"
BP03:00140,BP03,140,"                        'mmr_lambda': 0.7 },"
BP03:00141,BP03,141,"  'turn_history':     { 'strategy': 'recency',       'max_tokens': 1000,"
BP03:00142,BP03,142,"                        'compression': 'summarize_beyond_8_turns' },"
BP03:00143,BP03,143,"  'tool_schemas':     { 'strategy': 'relevance',     'max_tokens': 800 }"
BP03:00144,BP03,144,}
BP03:00145,BP03,145,GAP-C02 — Coreference Resolution Has No Defined Algorithm [HIGH]
BP03:00146,BP03,146,Current State: V9.2 defines conversation_sessions with session_entities for tracking named entities across turns. The tables are correctly structured.
BP03:00147,BP03,147,"Gap: The coreference resolution algorithm is never defined. 'Schedule a meeting with John' → 'Make it Tuesday' → 'Add his assistant too' requires: (1) resolving 'it' to the meeting from turn 1, (2) re"
BP03:00148,BP03,148,GAP-C03 — Conversation Compression Has No Algorithm [HIGH]
BP03:00149,BP03,149,"Current State: The context_budgets system allocates tokens for turn_history. As conversations grow past the allocation limit, older turns must be compressed or dropped."
BP03:00150,BP03,150,Gap: The compression algorithm for long conversations is undefined. Truncating from the oldest turn loses critical context (the original user request may be in turn 1). Summarizing naively loses entit
BP03:00151,BP03,151,GAP-C04 — RAG Freshness Scoring Is Absent [HIGH]
BP03:00152,BP03,152,Gap: RAG retrieval ranks results by semantic similarity but has no freshness dimension. A calendar event from 8 months ago has equal retrieval weight to one from tomorrow. For a time-aware executive a
BP03:00153,BP03,153,GAP-C05 — Fast-Path Cache Has No Warming Strategy [MEDIUM]
